Unique Investment Identifier,Business Case ID,Agency Code,Agency Name,Investment Title,Project ID,Agency Project ID,Project Name,Project Description,Start Date,Completion Date (B1),Spent Days,Project Status,Planned Project Completion Date (B2),Projected/Actual Project Completion Date (B2),Lifecycle Cost,Schedule Variance (in days),Schedule Variance (%),Schedule Status,Cost Variance ($ M),Financial Status,Cost Variance (%),Planned Cost ($ M),Projected/Actual Cost ($ M),Updated Date,Updated Time,Unique Project ID
005-000002224,252,5,Department of Agriculture,USDA Identity & Access Management,1752,,ePACS: Visitor Management Solution,Research and implement a solution for managing access credentials for visitors to USDA secure facilities.,2012-01-01T00:00:00Z,2012-09-30T00:00:00Z,272,Completed,,,0.256,-62,-34.25,Under schedule,0,Balanced budget,0,0.256,0.256,2012-02-07T00:00:00Z,6:27:17,EP-004
005-000002317,832,429,Nuclear Regulatory Commission,Comprehensive Loan Program,1952,,Integration/Service Oriented Architecture,Technical design of the necessary SOA technology to begin systems and applications integration efforts.,2010-01-11T00:00:00Z,2014-07-31T00:00:00Z,1661,Completed,,,4.004,0,0,Balanced schedule,0,Balanced budget,0,1.7125,1.7125,2012-03-30T00:00:00Z,7:07:58,160
005-000002317,832,429,Nuclear Regulatory Commission,Comprehensive Loan Program,1954,,CLP Integration,The RD Enterprise Architecture Program is focused on establishing baseline and target architectures that provide a roadmap for the implementation of CLP.,2010-08-31T00:00:00Z,2011-10-10T00:00:00Z,405,Completed,2011-09-30T00:00:00Z,2011-09-30T00:00:00Z,4.801,0,0,Balanced schedule,0.05424,Excess budget,2.17,2.495101,2.440861,2012-03-30T00:00:00Z,7:07:58,40
005-000002317,832,429,Nuclear Regulatory Commission,Comprehensive Loan Program,1955,,AMAS Retirement,Migration of Multi-Family Housing Servicing from AMAS to the Fiserv LoanServ Platform.,2010-08-30T00:00:00Z,2014-02-25T00:00:00Z,1275,Completed,,,2.545,0,0,Balanced schedule,0,Balanced budget,0,0.44,0.44,2012-03-30T00:00:00Z,7:07:58,50
005-000002317,832,5,Department of Agriculture,Comprehensive Loan Program,1956,,CLP Maintenance,All maintenance activities for the Comprehensive Loan Program.,2010-01-10T00:00:00Z,2024-09-30T00:00:00Z,5376,Processing,2012-09-28T00:00:00Z,2012-09-28T00:00:00Z,330.006,0,0,Balanced schedule,0,Balanced budget,0,27.728684,27.728684,2012-03-30T00:00:00Z,7:07:58,500
006-000525200,629,6,Department of Commerce,BEA Estimation Information Technology System (BEA-EITS),1239,,Consolidated Infrastructure Logging,Implement centralized infrastructure logging to further strengthen IT security controls.,2011-08-15T00:00:00Z,2012-03-31T00:00:00Z,229,Completed,2012-03-31T00:00:00Z,2012-03-31T00:00:00Z,0.175,0,0,Balanced schedule,-0.01,Under budget,-5.71,0.175,0.185,2012-04-26T00:00:00Z,6:17:26,5252O12113
006-000525200,629,6,Department of Commerce,BEA Estimation Information Technology System (BEA-EITS),2889,,Regional Income Aggregation,Develop a new multi-dimensional Regional income aggregation system across multiple publication types.,2012-03-01T00:00:00Z,2012-09-30T00:00:00Z,212,Completed,2012-09-30T00:00:00Z,2012-09-30T00:00:00Z,0.35,0,0,Balanced schedule,0.215,Excess budget,61.43,0.35,0.135,2012-08-16T00:00:00Z,9:44:53,5252D12314
006-000400100,648,6,Department of Commerce,Census - American Community Survey (ACS),1242,,Data Collection,"Collect housing unit and group quarters data via Mail, CATI and CAPI modes. Two teams are reviewing and providing improvements suggestions to the program. The Interconnection Documents and Testing Team identify internal and external IT interfaces to  create robust test decks to the test interfaces of the  various modes of data collection.  The Internet Implementation Team is a multi-divisional team identifying issues surrounding the implementation of an internet mode of data collection.",2011-01-10T00:00:00Z,2012-09-30T00:00:00Z,628,Completed,,,11.365234,0,0,Balanced schedule,1.967452,Excess budget,17.31,11.365234,9.397782,2012-02-29T00:00:00Z,8:54:58,4001M02001
006-000400100,648,6,Department of Commerce,Census - American Community Survey (ACS),1243,,Data Processing,"Data Processing, weighting, and review of survey data collected. Two teams are reviewing and providing improvements suggestions to the program. The Data Capture File (DCF) Team documents current DCF processing and develop to-be requirements for the CDF, create specs, and program.  The Process Improvement Team is a multi-divisional designed to identify areas of improvement for the ACS and to plan and implement these improvements.",2011-01-10T00:00:00Z,2012-09-30T00:00:00Z,628,Completed,,,15.796858,0,0,Balanced schedule,-0.386287,Under budget,-2.45,15.796858,16.183145,2012-02-29T00:00:00Z,8:54:58,4001M02002
006-000400100,648,6,Department of Commerce,Census - American Community Survey (ACS),1244,,Data Dissemination,Tabulating and dissemination of survey data products. The Process Improvement Team is a multi-divisional designed to identify areas of improvement for the ACS and to plan and implement these improvements.,2011-01-10T00:00:00Z,2012-09-30T00:00:00Z,628,Completed,,,14.327908,0,0,Balanced schedule,-0.208233,Under budget,-1.45,14.327908,14.536141,2012-02-29T00:00:00Z,8:54:58,4001M02003
006-000400900,678,6,Department of Commerce,Census - Geographic Support Systems (GSS),985,,Address Updates,"Develop GPS collection capability and enhance software functionality; Develop functioning tracking, processing and reporting systems in support of receiving and processing government entity address lists; Develop an improved geocoding system; List addresses in at least 20,000 targeted census blocks in CAUS program.",2011-01-11T00:00:00Z,2013-09-30T00:00:00Z,992,Completed,,,12.824599,-32,-10.67,Under schedule,1.59E-4,Excess budget,0,5.766296,5.766137,2012-08-15T00:00:00Z,8:44:38,4009D11001
006-000400900,678,6,Department of Commerce,Census - Geographic Support Systems (GSS),986,,Feature Updates,"Develop functioning management, acquisition, distribution and use systems in support of receiving and processing partner-supplied feature updates; Identify a viable change detection technique; either acquire the software for in-house use or contract for services.",2011-01-11T00:00:00Z,2013-09-30T00:00:00Z,992,Completed,,,14.534012,-32,-10.67,Under schedule,3.42E-4,Excess budget,0,8.830269,8.829927,2012-08-15T00:00:00Z,8:44:38,4009D11002
006-000401000,680,6,Department of Commerce,Census - Local Employment Dynamics IT Support (LED),987,,Self-Employment Data,Integration of Self Employment data into program infrastructure.,2010-01-10T00:00:00Z,2012-03-30T00:00:00Z,809,Completed,2012-03-30T00:00:00Z,2012-03-30T00:00:00Z,0.555,0,0,Balanced schedule,0.0148,Excess budget,5.17,0.286,0.2712,2012-08-16T00:00:00Z,5:09:47,4010D10002
006-000401000,680,6,Department of Commerce,Census - Local Employment Dynamics IT Support (LED),988,,Federal Worker Data,Complete integration of Federal Worker data into program infrastructure.,2010-01-10T00:00:00Z,2012-06-30T00:00:00Z,901,Completed,2012-06-30T00:00:00Z,2012-06-30T00:00:00Z,0.675,0,0,Balanced schedule,0.0521,Excess budget,9.51,0.548,0.4959,2012-08-16T00:00:00Z,5:09:47,4010D10003
006-000401000,680,6,Department of Commerce,Census - Local Employment Dynamics IT Support (LED),989,,Firm Age and Size,Complete integration of these data elements into the program infrastructure and update supporting web applications.,2010-01-10T00:00:00Z,2012-06-07T00:00:00Z,878,Completed,2012-06-07T00:00:00Z,2012-09-30T00:00:00Z,1.6,-86,-18.74,Under schedule,0.462,Excess budget,33.12,1.395,0.933,2012-08-16T00:00:00Z,5:09:47,4010D10004
006-000401000,680,6,Department of Commerce,Census - Local Employment Dynamics IT Support (LED),990,,National Indicators,Integration of update to QWI data product that provides employment indicators on a national level as opposed to current state based.,2010-01-10T00:00:00Z,2014-09-30T00:00:00Z,1723,Completed,,,3.27,0,0,Balanced schedule,0.0945,Excess budget,17.7,0.534,0.4395,2012-08-16T00:00:00Z,5:09:47,4010D10005
006-000401000,680,6,Department of Commerce,Census - Local Employment Dynamics IT Support (LED),991,,Job-to-Job Flow,Integration of update to infrastructure to allow for job flow analysis.,2011-03-10T00:00:00Z,2015-09-30T00:00:00Z,1664,Completed,2012-09-28T00:00:00Z,2012-09-28T00:00:00Z,5.529,0,0,Balanced schedule,0.0065,Excess budget,1.68,0.388,0.3815,2012-07-30T00:00:00Z,9:17:23,4010D11006
006-000401000,680,6,Department of Commerce,Census - Local Employment Dynamics IT Support (LED),992,,Web Enhancements,Update to the LED website and supporting applications/systems to incorporate new data and data elements.,2011-03-01T00:00:00Z,2012-03-30T00:00:00Z,394,Completed,2012-03-30T00:00:00Z,2012-05-30T00:00:00Z,1.238,-61,-23.19,Under schedule,-0.0162,Under budget,-3.7,0.438,0.4542,2012-07-30T00:00:00Z,9:17:23,4010D11007
006-000401000,680,6,Department of Commerce,Census - Local Employment Dynamics IT Support (LED),993,,Delivery of Data Products,Continual update of production code and delivery of quarterly data.,2010-01-10T00:00:00Z,2015-09-30T00:00:00Z,2088,Completed,2012-09-28T00:00:00Z,2012-09-28T00:00:00Z,10.5,0,0,Balanced schedule,0.0484,Excess budget,2.07,2.341,2.2926,2012-08-16T00:00:00Z,5:09:47,4010M10001
006-000003213,694,6,Department of Commerce,NOAA/NESDIS/ Environmental Satellite Processing Center (ESPC),1666,,IT Refresh,IT Refresh is an on-going effort to extend the life cycle of ESPC O&M Investment.  Commercial computer equipment supportability issues typically surface after five to seven years of service.  This project may include infrastructure refresh/replacement.,2011-08-15T00:00:00Z,2012-09-30T00:00:00Z,412,Completed,2012-09-28T00:00:00Z,2012-09-28T00:00:00Z,0.275,0,0,Balanced schedule,-0.01,Under budget,-3.64,0.275,0.285,2012-06-29T00:00:00Z,7:36:26,321311M001
006-000321500,695,6,Department of Commerce,NOAA/NESDIS/ GOES-R Series Ground Segment,1276,,GOES-R Project Office Support,GOES-R Project Office Support encompasses all government FTEs and contractor WYEs supporting GOES-R Ground Segment Project.,2006-01-10T00:00:00Z,2020-09-30T00:00:00Z,5376,Processing,2012-09-28T00:00:00Z,2012-09-28T00:00:00Z,233.156,0,0,Balanced schedule,0.127,Excess budget,0.38,33.728,33.601,2012-08-16T00:00:00Z,5:54:36,3215D07001
006-000321500,695,6,Department of Commerce,NOAA/NESDIS/ GOES-R Series Ground Segment,1277,,GOES-R Core Ground Segment,"The Core Ground Segment project is to: 1) design, develop, integrate and test an end-to-end GOES-R Ground Segment; 2) ssemble, integrate, and test the end-to-end Ground Segment, Space Segment, and User Interfaces, including transition of all systems to operations; and 3) provide operational support to the GOES-R Ground Segment operations to meet user requirements.",2007-03-19T00:00:00Z,2035-12-31T00:00:00Z,10514,Processing,2012-09-30T00:00:00Z,2012-09-30T00:00:00Z,782.089,0,0,Balanced schedule,-0.41,Under budget,-0.18,223.287,223.697,2012-08-16T00:00:00Z,5:54:36,3215D07002
006-000321500,695,6,Department of Commerce,NOAA/NESDIS/ GOES-R Series Ground Segment,1280,,GOES-R Facility Upgrades,"Upgrade RBU, NSOF, and WCDAS in support of GOES-R Program.",2009-01-07T00:00:00Z,2014-06-30T00:00:00Z,1999,Completed,2012-09-28T00:00:00Z,2012-09-28T00:00:00Z,77.976,0,0,Balanced schedule,0.021,Excess budget,0.04,59.576,59.555,2012-08-16T00:00:00Z,5:54:36,3215D07005
006-000321500,695,6,Department of Commerce,NOAA/NESDIS/ GOES-R Series Ground Segment,1281,,GOES-R Antenna System,"GOES-R Antenna System consists of six new antenna stations (3 at WCDAS and 3 at RBU), as well as upgrades to four antenna at NSOF.",2010-07-19T00:00:00Z,2020-07-18T00:00:00Z,3652,Processing,2012-09-30T00:00:00Z,2012-09-30T00:00:00Z,130.703,0,0,Balanced schedule,-0.098,Under budget,-0.16,60.273,60.371,2012-08-16T00:00:00Z,5:54:36,3215D10005
006-000321500,695,6,Department of Commerce,NOAA/NESDIS/ GOES-R Series Ground Segment,1283,,GOES-R Telecommunications,GOES-R Telecommunications provides telecommunication networks for the GOES-R Program.,2012-03-15T00:00:00Z,2016-09-30T00:00:00Z,1659,Processing,,,35.313,0,0,Balanced schedule,0,Balanced budget,0,2.5,2.5,2012-08-16T00:00:00Z,5:54:36,3215D12007
006-000321100,696,6,Department of Commerce,NOAA/NESDIS/ NPP Data Exploitation (NDE),1291,,Deliver Phase 1 Mission Continuity Products from NPP,Deliver and integrate science algorithms into the NDE system Test Environment and the Production Environment.,2011-01-11T00:00:00Z,2012-09-15T00:00:00Z,612,Completed,2012-09-14T00:00:00Z,2012-09-14T00:00:00Z,1.58,0,0,Balanced schedule,0,Balanced budget,0,1.58,1.58,2012-06-29T00:00:00Z,7:38:43,3211D12003
006-000321200,697,6,Department of Commerce,NOAA/NESDIS/ Joint Polar Satellite System (JPSS) Ground System (formerly NPOESS Ground System),1284,,NPOESS Preparatory Project,Block 1.0 NPP Initial Ground System.,2010-01-10T00:00:00Z,2011-09-30T00:00:00Z,627,Completed,2011-09-30T00:00:00Z,2011-09-30T00:00:00Z,25.4,0,0,Balanced schedule,-9.479,Under budget,-37.32,25.4,34.879,2012-05-31T00:00:00Z,6:29:56,3212D11001
006-000321200,697,6,Department of Commerce,NOAA/NESDIS/ Joint Polar Satellite System (JPSS) Ground System (formerly NPOESS Ground System),1285,,DMSP/METRO Project,Block 1.1 Integration of DMSP/METRO with Communication Backbone.,2011-01-10T00:00:00Z,2012-02-29T00:00:00Z,415,Completed,2012-02-29T00:00:00Z,2012-02-29T00:00:00Z,100.6346,0,0,Balanced schedule,17.1886,Excess budget,17.08,100.6346,83.446,2012-05-31T00:00:00Z,6:29:56,3212D12002
006-000321200,697,6,Department of Commerce,NOAA/NESDIS/ Joint Polar Satellite System (JPSS) Ground System (formerly NPOESS Ground System),1287,,Operational NPP,Block 1.5 Operationalizing NPP.,2012-01-02T00:00:00Z,2014-04-30T00:00:00Z,848,Completed,,,41.06,0,0,Balanced schedule,-0.091,Under budget,-0.22,41.06,41.151,2012-04-26T00:00:00Z,7:03:05,3212D12004
006-000321600,698,6,Department of Commerce,NOAA/NESDIS/ National Climatic Data Center (NCDC),1470,,NCDC HSPD12 Implementation,CAC readers to be installed on all desktops and laptops.,2011-01-06T00:00:00Z,2012-03-30T00:00:00Z,448,Completed,2012-03-30T00:00:00Z,2011-10-31T00:00:00Z,0.075,151,49.83,Excess schedule,0,Balanced budget,0,0.075,0.075,2012-05-31T00:00:00Z,8:55:42,321611001
006-000310100,701,6,Department of Commerce,NOAA/NWS/ Advanced Weather Interactive Processing System (AWIPS),1483,,AWIPS,All activities associated with support AWIPS O&M and Product Improvement.,2010-01-10T00:00:00Z,2011-09-30T00:00:00Z,627,Completed,2011-09-30T00:00:00Z,2011-09-30T00:00:00Z,63.352,0,0,Balanced schedule,8.723,Excess budget,13.77,63.352,54.629,2012-02-29T00:00:00Z,8:55:10,3101M11001
006-000310200,708,6,Department of Commerce,NOAA/NWS/ Next Generation Weather Radar (NEXRAD-PI) System Product Improvement,1315,,Dual Polarization,"Development and Implementation of Dual Polarization capability for the nation's weather radar network (160 sites).  New capability increases the weather radar's ability to detect severe winter weather, rainfall amount, and tornado damage.",2007-09-24T00:00:00Z,2013-12-23T00:00:00Z,2282,Completed,2012-09-30T00:00:00Z,2012-09-30T00:00:00Z,77.77,0,0,Balanced schedule,-2.3E-5,Under budget,0,27.20332,27.203343,2012-08-16T00:00:00Z,7:46:45,3102D07001
006-000380400,711,6,Department of Commerce,NOAA/OCIO/ NOAA R&D High Performance Computing System,1319,,R&D HPCS,"Acquire, deliver, and install HPCs, climate post processing compute resources, and HSM.",2010-08-25T00:00:00Z,2012-02-28T00:00:00Z,552,Completed,2012-02-28T00:00:00Z,2012-02-03T00:00:00Z,40.7,-3,-0.54,Under schedule,0,Balanced budget,0,40.7,40.7,2012-03-28T00:00:00Z,7:41:03,3804M10003
006-000380400,711,6,Department of Commerce,NOAA/OCIO/ NOAA R&D High Performance Computing System,"2,933",,GFDL Data Portal,"Acquire, install, and integrate data portal equipment to support data transfers from GAEA HPC.",2011-01-11T00:00:00Z,2012-02-29T00:00:00Z,414,Completed,2012-02-29T00:00:00Z,2012-06-03T00:00:00Z,1.383,-6,-5,Under schedule,0,Balanced budget,0,1.383,1.383,2012-03-28T00:00:00Z,7:41:03,3804M11005
006-000400700,715,6,Department of Commerce,Census - Economic Census and Surveys,979,,StEPS II Survey IT Development,Information technology upgrade economic survey's the Standard Economic Processing System.,2011-01-07T00:00:00Z,2012-01-10T00:00:00Z,368,Completed,2012-01-10T00:00:00Z,2012-01-10T00:00:00Z,5.248994,0,0,Balanced schedule,-0.616245,Under budget,-11.74,5.248994,5.865239,2012-08-17T00:00:00Z,8:39:37,4007D11004
006-000400700,715,6,Department of Commerce,Census - Economic Census and Surveys,980,,Census and Related survey IT support for collection and processing,Maintenance of the collection instruments and processing systems; development of the collection instruments and processing systems; both to be used in the 2012 Economic Census.,2011-01-07T00:00:00Z,2012-09-30T00:00:00Z,631,Completed,2012-09-30T00:00:00Z,2012-09-30T00:00:00Z,54.468197,0,0,Balanced schedule,1.442929,Excess budget,2.65,54.468197,53.025268,2012-08-17T00:00:00Z,8:39:37,4007M11001
006-000400700,715,6,Department of Commerce,Census - Economic Census and Surveys,981,,COGS survey IT support for collection and processing,Maintenance of data collection and processing systems for 2012 COG.,2011-01-07T00:00:00Z,2012-09-30T00:00:00Z,631,Completed,2012-09-30T00:00:00Z,2012-09-30T00:00:00Z,0.927026,0,0,Balanced schedule,-0.274616,Under budget,-29.62,0.927026,1.201642,2012-08-17T00:00:00Z,8:39:37,4007M11002
006-000400800,716,6,Department of Commerce,Census - Field Support Systems,983,,2014 R&D of CAPI Device,Research mobile computing device to replace laptop.,2011-03-10T00:00:00Z,2013-02-09T00:00:00Z,702,Completed,2012-09-28T00:00:00Z,2012-02-10T00:00:00Z,0.758,-4,-1.13,Under schedule,0,Balanced budget,0,0.3684,0.3684,2012-08-16T00:00:00Z,5:08:38,4008M02001
006-000051000,721,6,Department of Commerce,Commerce Business Systems (CBS),1962,,Prior Year Adjustments for Advice Corrections,Addition of prior-year functionality in the CBS' PM006 Advice of Correction screen (used to adjust/correct paid invoices) so that the PM006 will automatically prepare the proper upward or downward prior-year entries. This project will also replace the interface used by the Commerce Purchase Card System for processing corrections to purchase card invoices and replace it with the Accounts Payable Standard Interface for processing the corrections.,2011-01-07T00:00:00Z,2012-01-23T00:00:00Z,381,Completed,2011-12-30T00:00:00Z,2011-12-30T00:00:00Z,0.704857,0,0,Balanced schedule,0.044179,Excess budget,11.16,0.395841,0.351662,2012-03-28T00:00:00Z,9:12:19,0510O10001
006-000051000,721,6,Department of Commerce,Commerce Business Systems (CBS),1963,,CBS Next Gen,"Purchase and deployment of a standard Oracle/Sun Solaris technology platform for the test, development and production instances of the Commerce Business Systems (CBS) - DOC's Financial System of Record.",2011-01-07T00:00:00Z,2012-12-31T00:00:00Z,724,Completed,,,6.12603,0,0,Balanced schedule,0,Balanced budget,0,4.276034,4.276034,2011-11-29T00:00:00Z,9:51:34,0510O11002
006-000051000,721,6,Department of Commerce,Commerce Business Systems (CBS),1964,,Automated Standard Application for Payments (ASAP) Interface - AR 22289,Update ASAP file formats from text to XML.,2011-03-10T00:00:00Z,2012-01-08T00:00:00Z,304,Completed,,,0.405383,-92,-30.36,Under schedule,-0.001986,Under budget,-0.59,0.335912,0.337898,2012-08-16T00:00:00Z,9:47:52,0510O11003
006-000051000,721,6,Department of Commerce,Commerce Business Systems (CBS),"1,965",,Government Treasury Account Symbol (GTAS) Implementation,"Modify CBS to incorporate the Governmentwide Treasury Account Symbol Adjusted Trial Balance System (GTAS) requirements.  GTAS will replace the functionality of FACTS I, FACTS II, IFCS, and IRAS reporting systems as the primary means of reporting agency trial balance data.",2011-05-24T00:00:00Z,2012-12-31T00:00:00Z,587,Completed,,,1.9085,-107,-20.94,Under schedule,0.062183,Excess budget,3.26,1.908266,1.846083,2012-08-16T00:00:00Z,9:47:52,0510O11004
006-000051000,721,6,Department of Commerce,Commerce Business Systems (CBS),1966,,SGL Digit Increase (includes TAS from 21 to 27 Characters),Increase SGL from four to six digits to accommodate requirement for additional 4000 series accounts.,2011-01-07T00:00:00Z,2012-09-30T00:00:00Z,631,Completed,,,1.4151,-58,-14.61,Under schedule,0.165515,Excess budget,11.7,1.415032,1.249517,2012-06-29T00:00:00Z,7:07:34,0510O11005
006-000051000,721,6,Department of Commerce,Commerce Business Systems (CBS),2934,,CCR - System for Award Management (SAM),SAM is combining eight federal procurement systems and the Catalogue of Federal Domestic Assistance into one new system.  CCR.gov is one of the systems being combined.,2011-03-10T00:00:00Z,2012-09-28T00:00:00Z,567,Completed,,,0.377089,-28,-9.21,Under schedule,0.022567,Excess budget,5.98,0.377089,0.354522,2012-08-16T00:00:00Z,9:47:52,0510O11006
006-000051000,721,6,Department of Commerce,Commerce Business Systems (CBS),2935,,Application/Hardware Refresh,"Combines the CBS NextGen tasks, the Upgrade Fusion Middleware/WebLogic to 11g task, and the Oracle DB Migration to 11g task.",2011-01-07T00:00:00Z,2012-12-31T00:00:00Z,724,Completed,,,4.07484,0,0,Balanced schedule,0.720432,Excess budget,17.68,4.074831,3.354399,2012-05-30T00:00:00Z,9:54:33,0510O11007
006-000400300,724,6,Department of Commerce,Census - Data Access and Dissemination System (DADS),3057,,Replacement Tabulation System,Project 1: The DADS Replacement Tabulation System project includes tasks that conduct tabulation business operations for the Decennial Census and special tabulations as necessary.,2011-01-07T00:00:00Z,2012-09-28T00:00:00Z,629,Completed,,,1.55809,0,0,Balanced schedule,-0.867062,Under budget,-55.65,1.55809,2.425152,2012-07-30T00:00:00Z,8:43:56,4003D11002
006-000400300,724,6,Department of Commerce,Census - Data Access and Dissemination System (DADS),3059,,Replacement Dissemination System - Requirements Management and Analysis,Project 2: The DADS Replacement Dissemination System (RDS)- Requirements Management and Analysis project includes tasks that conduct requirements analysis to clarify the business need and collect additional details required for the design and specification of the RDS.,2011-01-07T00:00:00Z,2012-09-28T00:00:00Z,629,Completed,,,2.179936,0,0,Balanced schedule,0.095498,Excess budget,4.38,2.179936,2.084438,2012-07-30T00:00:00Z,8:43:56,4003D11003
006-000400300,724,6,Department of Commerce,Census - Data Access and Dissemination System (DADS),3061,,Replacement Dissemination System - Architecture Analysis and Management,Project 3: The DADS Replacement Dissemination System (RDS)- Architecture Analysis and Management project include tasks for conducting architecture analysis and oversight of the RDS.,2011-01-07T00:00:00Z,2012-09-28T00:00:00Z,629,Completed,,,2.514063,0,0,Balanced schedule,0.201933,Excess budget,8.03,2.514063,2.31213,2012-07-30T00:00:00Z,8:43:56,4003D11004
006-000400300,724,6,Department of Commerce,Census - Data Access and Dissemination System (DADS),3065,,Replacement Dissemination System - Software Development,Project 5: The DADS Replacement Dissemination System (RDS) - Software Development project includes tasks covering the application and maintenance releases for the RDS.,2011-01-07T00:00:00Z,2012-09-28T00:00:00Z,629,Completed,,,8.141993,0,0,Balanced schedule,-0.072419,Under budget,-0.89,8.141993,8.214412,2012-07-30T00:00:00Z,8:43:56,4003D11006
006-000051100,725,6,Department of Commerce,Consolidated HCHB IT Infrastructure (CHII),1147,,FootPrints CMDB and Inventory Manager enhanced capabilities,Upgrade Current License for Footprints and Asset Manager Products.  Add Footprints components CMDBand Service Catalog and premium care support for thoseproducts.  Purchase Contractor Support Engagement to have thecontractor on site to help get the products up and running andprovide training to our staff members.,2011-01-02T00:00:00Z,2012-12-31T00:00:00Z,729,Completed,,,0.105,-244,-73.27,Under schedule,0,Balanced budget,0,0.105,0.105,2012-04-26T00:00:00Z,6:51:14,66005500
